Nickname,Fecha Nac.,Sexo,Ciudad,Nombre,Apellido,Email,Contraseña,Interés1,Interés2,Interés3,Interés4,Interés5,Longitud,Latitud
npaulet,16/07/51,M,Buenos Aires,Nicolas,Paulet,nicolaspaulet@gustr.com,001a2223a,racing,asado,musica,salud,futbol,"-58,3974961124","-34,5999615103"
ccgeois,14/02/84,M,Buenos Aires,Christian,Bourgeois,cbourgeois@hotmail.com,002a2223a,fotografia,racing,cerveza,ciencia,basquet,"-58,3738872647","-34,640819885"
Dilama,23/05/56,F,Buenos Aires,Didiane,Lamarre,didianelama84@aol.com,003a2223a,salud,futbol,humor,viajes,programacion,"-58,3922817772","-34,5828158"
Chases,15/05/85,F,Buenos Aires,Beatriz,Barboza,BeatrizBaroza@gutr.com,004a2223a,racing,fotografia,cerveza,internet,,"-58,4822986052","-34,597755652"
Canot94,19/07/94,I,Buenos Aires,Doroteo,Bellucci,DoroBellucci@asm.com,005a2223a,cerveza,futbol,ciencia,humor,,"-58,4829345035","-34,5960909254"
Privarme,07/03/89,F,Buenos Aires,Lorena,Pisani,LorenaPisani@gustr.com,006a2223a,musica,asado,viajes,basquet,,"-58,4776921498","-34,5949775013"
theller,06/09/80,M,Buenos Aires,Ivan,Lo Duca,vanLoDuca@superrito.com,007a2223a,salud,futbol,ciencia,fotografia,internet,"-58,4428409098","-34,542278668"
micara1958,20/05/58,I,Buenos Aires,Timotea,Calabrese,timocala@aol.com,008a2223a,python,fotografia,musica,programacion,,"-58,40858098","-34,6196631549"
Comprignate,05/07/80,M,Buenos Aires,Leila,Cremonesi,LeilaCremonesi@outlook.com,009a2223a,cerveza,pizza,humor,ciencia,,"-58,4441846757","-34,541636483"
Decong,22/11/91,I,Buenos Aires,Enzo,Alves,EnzoAlves@superrito.com,010a2223a,asado,fotografia,viajes,programacion,,"-58,5084549132","-34,5933156288"
Beek1931,27/12/31,I,Buenos Aires,Gabriel,Correia,GabrielCorreia@gustr.com,011a2223a,salud,futbol,internet,humor,,"-58,5121700464","-34,5972769613"
Brover,03/03/95,I,Buenos Aires,Armando,Pinto Cardoso,armandopc@aol.com,012a2223a,salud,cerveza,musica,fotografia,,"-58,4122132286","-34,6123117714"
Agemput,02/08/82,M,Buenos Aires,Ana,Rocha Pinto,annarocha@gustr.com,013a2223a,futbol,pizza,comedias,programacion,,"-58,4783170278","-34,5678888147"
Squom1984,25/06/84,M,Buenos Aires,Argento,Cabán,ArgentoCaban@gustr.com,014a2223a,libros,python,ciencia,basquet,,"-58,3976782096","-34,5978455056"
Aimp5,13/12/92,I,Buenos Aires,Santiago,Fernández,SantiagoFernandez@gustr.com,015a2223a,fotografia,musica,humor,programacion,,"-58,3980982538","-34,5973328301"
Goisibe,13/11/75,M,Buenos Aires,Fausto,Trevisan,FaustoTrevisan@gustr.com,016a2223a,racing,cerveza,viajes,programacion,,"-58,3993169648","-34,5971490317"
Dutu206,28/06/89,M,Buenos Aires,Gaston,Peña,imgaston12@gmail.com,017a2223a,python,futbol,internet,basquet,,"-58,420072184","-34,5985961508"
Segerhy,19/10/91,I,Buenos Aires,Valentino,Peres Attia ,hiattia8@telefonica.net,018a2223a,asado,musica,programacion,humor,,"-58,4184425907","-34,6073185912"
Uniscomen,11/07/88,M,Buenos Aires,Bernardo,Formigo,hocaldelas14@yopmail.com,019a2223a,libros,comedias,basquet,viajes,,"-58,3982560262","-34,5982628605"
Wores1991,13/09/91,F,Buenos Aires,Cecilia Sol,Garramiola,gyledesma24@outlook.com,020a2223a,salud,pizza,viajes,humor,ciencia,"-58,3684159212","-34,6176277762"
